Sklep;Nazwa;Model;Cena;Data;Pojemność;Typ podłączenia;Format
MediaMarkt;TOSHIBA;Canvio Basics 2022 1TB Czarny HDTB510EK3AA;199;2023.06.24;1 TB;USB 3.2 Gen 1 (typ A);2.5
MediaMarkt;SEAGATE;Expansion 2TB STKM2000400;289;2023.06.24;2 TB;USB 3.1 Gen 1 (typ A);2.5
MediaMarkt;TOSHIBA;Canvio Flex 2,5 cala 2TB Srebrny HDTX120ESCCA;329;2023.06.24;2 TB;USB 3.2 Gen 1 (typ A), USB 3.2 Gen 1 (typ C);2.5
MediaMarkt;TOSHIBA;Canvio Basics 2022 2TB Czarny HDTB520EK3AA;299;2023.06.24;2 TB;USB 3.2 Gen 1 (typ A);2.5
MediaMarkt;WD;Elements SE 2TB BEPK0020BBK-WESN;299;2023.06.24;2 TB;USB 3.0;
MediaMarkt;TOSHIBA;Canvio Basics 4TB Czarny HDTB440EK3CA;449;2023.06.24;4 TB;USB 3.0;2.5
MediaMarkt;SEAGATE;Expansion 1TB STKM1000400;229;2023.06.24;1 TB;USB 3.1 Gen 1 (typ A);2.5
MediaMarkt;TOSHIBA;Canvio Basics 2TB Czarny HDTB420EK3AA;299;2023.06.24;2 TB;USB 3.0;2.5
MediaMarkt;SEAGATE;Expansion 4TB STKM4000400;449;2023.06.24;4 TB;USB 3.1 Gen 1 (typ A);2.5
MediaMarkt;TOSHIBA;Canvio Basics 2022 4TB Czarny HDTB540EK3CA;459;2023.06.24;4 TB;USB 3.2 Gen 1 (typ A);2.5
MediaMarkt;SEAGATE;BackupPlus One Touch 2TB Niebieski;319;2023.06.24;2 TB;USB 3.0;2.5
MediaMarkt;SEAGATE;BackupPlus One Touch 2TB Czerwony;319;2023.06.24;2 TB;USB 3.0;2.5
MediaMarkt;WD;Elements SE 4TB BJRT0040BBK-WESN;659;2023.06.24;4 TB;USB 3.0;
MediaMarkt;SEAGATE;BackupPlus One Touch 4TB Niebieski;489;2023.06.24;4 TB;USB 3.0;2.5
MediaMarkt;SEAGATE;BackupPlus One Touch 4TB Czerwony;499;2023.06.24;4 TB;USB 3.0;2.5
MediaMarkt;WD_BLACK;P10 Game Drive for Xbox One 3TB Czarny BA5G0030BBK-WESN;629;2023.06.24;3 TB;USB 3.2 Gen 1 (typ A);2.5
MediaMarkt;WD;Elements SE 1TB BEPK0010BBK-WESN;239;2023.06.24;1 TB;USB 3.0;
MediaMarkt;TOSHIBA;Canvio Advance 2,5 cala 2TB Czerwony HDTCA20ER3AA;399;2023.06.24;2 TB;USB 3.2 Gen 1 (typ A);2.5
MediaMarkt;WD_BLACK;P10 Game Drive for Xbox One 5TB Czarny BA5G0050BBK-WESN;999;2023.06.24;5 TB;USB 3.2 Gen 1 (typ A);2.5
MediaMarkt;LA CIE;Mobile Drive Secure 2TB Szary STLR2000400;499;2023.06.24;2 TB;USB 3.1 Gen 1 (typ C);
MediaMarkt;WD_BLACK;D10 Game Drive for Xbox One 12TB Czarny BA5E0120HBK-EESN;1639;2023.06.24;12 TB;USB 3.2 Gen 1 (typ A);3.5
MediaMarkt;SEAGATE;Expansion 4TB Rescue STKN4000400;549;2023.06.24;4 TB;USB 3.0;
MediaMarkt;WD;Elements Desktop 8TB Czarny BWLG0080HBK-EESN;1349;2023.06.24;8 TB;USB 3.0;
MediaMarkt;WD;Elements SE 2TB BJRT0020BBK-WESN;329;2023.06.24;2 TB;USB 3.0;
MediaMarkt;TOSHIBA;Canvio Basics 1TB Czarny HDTB410EK3AA;289;2023.06.24;1 TB;USB 3.0;2.5
MediaMarkt;SEAGATE;BackupPlus One Touch 1TB Srebrny;269;2023.06.24;1 TB;USB 3.0;2.5
MediaMarkt;SEAGATE;BackupPlus One Touch 1TB Czarny;249;2023.06.24;1 TB;USB 3.0;2.5
MediaMarkt;SEAGATE;Expansion 2TB Rescue STKN2000400;359;2023.06.24;2 TB;USB 3.0;
MediaMarkt;WD_BLACK;P10 Game Drive 2TB Czarny BA2W0020BBK-WESN;399;2023.06.24;2 TB;USB 3.2 Gen 1 (typ A);2.5
MediaMarkt;SEAGATE;BackupPlus One Touch 2TB Srebrny;349;2023.06.24;2 TB;USB 3.0;2.5
MediaMarkt;SEAGATE;Expansion 1TB Rescue STKN1000400;279;2023.06.24;1 TB;USB 3.0;
MediaMarkt;SEAGATE;BackupPlus Slim 1TB Czarny STHN1000400;299;2023.06.24;1 TB;USB 3.1 Gen 1 (typ A);
MediaMarkt;SEAGATE;BackupPlus Slim 1TB Niebieski STHN1000402;299;2023.06.24;1 TB;USB 3.1 Gen 1 (typ A);
MediaMarkt;WD;My Passport 4TB Czerwony BPKJ0040BRD-WESN;479;2023.06.24;4 TB;USB 3.2 Gen 1 (typ A);2.5
MediaMarkt;WD;My Passport 2TB Czerwony BYVG0020BRD-WESN;459;2023.06.24;2 TB;USB 3.2 Gen 1 (typ A);
MediaMarkt;SEAGATE;BackupPlus Slim 1TB Czerwony STHN1000403;299;2023.06.24;1 TB;USB 3.1 Gen 1 (typ A);
MediaMarkt;SEAGATE;BackupPlus Slim 2TB Szary STHN2000406;379;2023.06.24;2 TB;USB 3.1 Gen 1 (typ A);
MediaMarkt;TOSHIBA;Canvio Alu 2018 1TB Srebrny HDTH310ES3AB;289;2023.06.24;1 TB;USB 3.0;2.5
MediaMarkt;TOSHIBA;Canvio Premium 2TB Ciemnoszary metaliczny HDTW220EB3AA;419;2023.06.24;2 TB;USB 3.1 Gen 1 (typ A);2.5
MediaMarkt;SEAGATE;BackupPlus Slim 2TB Niebieski STHN2000402;389;2023.06.24;2 TB;USB 3.1 Gen 1 (typ A);
MediaMarkt;SEAGATE;BackupPlus One Touch 2TB Czarny;379;2023.06.24;2 TB;USB 3.0;2.5
MediaMarkt;SEAGATE;Expansion Portable 2 TB Czarny STEA2000400;319;2023.06.24;2 TB;USB 3.0;2.5
MediaMarkt;SEAGATE;Expansion Portable 4 TB Czarny STEA4000400;469;2023.06.24;4 TB;USB 3.0;2.5
MediaMarkt;SEAGATE;BackupPlus Slim 1TB Srebrny STHN1000401;299;2023.06.24;1 TB;USB 3.1 Gen 1 (typ A);
MediaMarkt;WD;My Passport 2TB Niebieski BYVG0020BBL-WESN;449;2023.06.24;2 TB;USB 3.2 Gen 1 (typ A);
MediaMarkt;WD;My Passport 2TB Czarny BYVG0020BBK-WESN;299;2023.06.24;2 TB;USB 3.2 Gen 1 (typ A);2.5
MediaMarkt;TOSHIBA;Canvio Gaming 2,5 cala 1TB Czarny HDTX110EK3AA;259;2023.06.24;1 TB;USB 3.2 Gen 1 (typ A);2.5
MediaMarkt;Store;Store n Go 1TB HDD Srebrny 53071;267;2023.06.24;1 TB;USB 3.1 Gen 1 (typ A);2.5
MediaMarkt;WD;My Passport 1TB Pomarańczowy BYNN0010BOR-WESN;349;2023.06.24;1 TB;USB 3.0, Zgodny z USB 2.0;
MediaMarkt;WD;Elements Desktop 10TB Czarny BWLG0100HBK-EESN;1469;2023.06.24;10 TB;USB 3.0;
MediaMarkt;WD;Elements Portable 3TB Czarny BU6Y0030BBK-WESN;419;2023.06.24;3 TB;USB 3.1 Gen 1 (typ A);2.5
